state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Wisconsin,2001-01-01,9305516.741331644,147354.417962215,1
Wisconsin,2002-01-01,9647278.892614242,153869.2200974062,1
Wisconsin,2003-01-01,9812581.872339277,159101.3013854011,1
Wisconsin,2004-01-01,9898885.97419968,166620.13160026175,1
Wisconsin,2005-01-01,9965479.048632625,175821.777715391,1
Wisconsin,2006-01-01,10004926.321484396,181657.7210973571,1
Wisconsin,2007-01-01,10049931.679142678,180472.80604830483,1
Wisconsin,2008-01-01,10222464.649742516,177232.15080569003,1
Wisconsin,2009-01-01,10540008.850395713,166985.48372158757,1
Wisconsin,2010-01-01,10665949.116665488,158801.5817441293,1
Wisconsin,2011-01-01,10822733.358856313,148968.49674891503,1
Wisconsin,2012-01-01,9951371.25306524,138285.34832509214,1
Wisconsin,2013-01-01,9824242.221637253,138167.3283657975,1
Wisconsin,2014-01-01,9754914.676235938,141571.90332443613,1
Wisconsin,2015-01-01,9788196.121475281,145518.46452429693,1
Wisconsin,2016-01-01,9691073.0,153188.50046139327,1
